Trait,Predeessors,Successors,Neighbours,betweennessCentrality,eigenvectorCentrality,p_Depression,p_Worry,p_Wellbeing,p_Loneliness,p_Sleeplessness,p_Neuroticism,p_Alcohol,p_Education,p_BMI,p_Intelligence,p_Eveningness,p_Not socialising,p_Smoking,p_Exercise,p_Coffee intake,p_CHD,p_Diabetes
Alcohol,1,5,6,0.013888889,0.310796192,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
BMI,3,6,9,0.052083333,0.384786133,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1
CHD,4,0,4,0,0.243513257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee intake,4,0,4,0,0.212141948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression,0,5,5,0,0.138011635,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
Diabetes,1,0,1,0,0.062422471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,2,9,11,0.0625,0.433930685,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
Eveningness,2,0,2,0,0.120814418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exercise,2,1,3,0,0.158432551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Intelligence,3,4,7,0.009027778,0.330541708,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Loneliness,2,2,4,0,0.123794692,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
Neuroticism,4,0,4,0,0.135257094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not socialising,5,0,5,0,0.293932624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeplessness,3,6,9,0.141666667,0.351810245,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
Smoking,2,0,2,0,0.132817522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellbeing,3,0,3,0,0.101852172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worry,1,4,5,0,0.138011635,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
