cond,cond_dur,Motivation,Direction,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,FreeText,test_score,test_dur,test_ffe1_1,test_ffe1_2,test_ffe1_3,test_ffe2_1,test_ffe2_2,test_ffe2_3,test_ffe3_1,test_ffe3_2,test_ffe3_3,test_ffe4_1,test_ffe4_2,test_ffe4_3
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctr,43.513,8,5,1,1,0,1,0,0,1,0,1,0,1,0,No strategy but the use of educations affect was memorable,13,855.6709999999999,Exercise,NA,NA,Education,NA,NA,Exercise,NA,NA,Exercise,NA,NA
Exp,2009.721,6,6,1,1,0,1,0,0,1,0,1,0,1,0,I didn't followed any specific strategy and nothing prevented me from achieving what I wanted.I liked the fact that I could see how each component had an effect on something else from a game.I could find more memorable the effects that I was already aware of like education reduces smoking.,13.2,1483.276,Sleeplessness,Depression,Worry,Alcohol,BMI,Sleeplessness,BMI,Education,NA,Intelligence,Education,Sleeplessness
Ctr,378.703,5,6,1,0,0,0,0,0,1,1,1,0,0,0,"Personally, at my first try I did not have any strategy and tried to understand the software. But in my second try, I began to observe how interventions generally had an effect and tried to form a strategy.",16.2,1585.0459999999998,Not socialising,Depression,Worry,Sleeplessness,Depression,Worry,BMI,Education,NA,BMI,Diabetes,NA
Exp,1640.969,6,6,1,1,1,1,0,0,1,1,1,0,1,0,I think insomnia and loneliness are the most prevalent factors that will affect  others. Sometimes I am not entirely sure why the computer did better than me and how come the computer got the higher percentage affected. I do not quite understand how the percentage affected is worked out.,15.2,1125.968,Sleeplessness,Depression,Worry,Alcohol,BMI,Sleeplessness,BMI,Education,NA,BMI,Diabetes,Sleeplessness
Exp,335.48299999999995,6,9,1,1,1,0,0,0,0,1,1,0,1,0,"I enjoyed the game and the way it was presented, I tried to have some sort of strategy but ended up just choosing things I thought might be correct.",18.2,1036.665,Neuroticism,Depression,Worry,Intelligence,Education,Wellbeing,Not socialising,BMI,Education,Intelligence,Diabetes,Education
Ctr,216.827,5,7,0,0,0,0,0,0,1,0,1,0,0,0,I felt the sofware was hard to use. I did however find it enjoyable dragging the different factors around and seeing the increase/ decrease.,16.2,948.7710000000001,Not socialising,Sleeplessness,Depression,Eveningness,Alcohol,Intelligence,BMI,Education,NA,Intelligence,BMI,Diabetes
Ctr,353.062,5,6,1,0,0,0,0,0,1,1,1,0,1,0,"I found it quite complicated to begin with, I didn't have a strategy other than to experiment with it. The effects were memorable and it was nice to see how they all interlinked.",17.2,787.273,Sleeplessness,Depression,Worry,Intelligence,Education,NA,Education,NA,NA,Intelligence,Education,NA
Ctr,240.218,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctr,21815.333,5,5,1,1,0,0,0,0,1,0,1,0,1,0,"I did not have a strategy, I just explored the software and experimented by changing diffrent things and seeing what affect this would have.",17.2,1402.578,Alcohol,Exercise,Not socialising,Intelligence,Exercise,Education,Intelligence,Exercise,Coffee intake,Alcohol,Intelligence,Exercise
Exp,229.782,6,5,1,1,1,0,0,0,0,1,1,0,1,0,"Wonderful presentation, very interesting and fun to interact with the game. I began remembering what trait lowered and increased other traits. The soundtrack to the game is very well done.",15.2,1027.67,Depression,NA,NA,Education,NA,NA,Intelligence,NA,NA,Education,NA,NA
Exp,765.706,6,7,1,0,0,0,0,0,0,1,1,0,0,0,It was a somewhat immersive experience that distracted me for a while.,16.2,659.114,Exercise,NA,NA,Education,NA,NA,Worry,NA,NA,Exercise,NA,NA
Ctr,9.958,4,5,1,1,1,1,0,0,1,1,1,0,1,0,In order to make the interventions I looked at all of the different things I could do to intervene. Education was the thing that affected all of the others the most and so I kept clicking that one in order to improve others e.g. intelligence.,15.2,1060.846,Exercise,CHD,Smoking,Eveningness,BMI,Smoking,Intelligence,Exercise,BMI,BMI,Diabetes,Sleeplessness
Ctr,14.376,6,9,1,1,1,1,0,0,1,1,1,0,1,0,"I found the simulation quite confusing at first, but then I got the hang of it. I still was a bit lost when a ripple effect was caused by a single intervention though, as the changes were expressed simultaneously and I simply couldn't keep up. I thought it was a fun game though!",16.2,1309.426,Depression,Worry,NA,Intelligence,NA,NA,BMI,NA,NA,Diabetes,NA,NA
Ctr,12.486999999999995,8,5,0,0,0,0,0,0,0,0,1,0,0,0,"It was slightly confusing, sometimes the colours faded and the arrows got huge. Also, some them had nothing happen after. I just clicked on ones that interested me and then clicked on another one. The presentation was good, my only problem was that it was slightly overwhelming and at time unclear.",16.2,1237.029,Sleeplessness,NA,NA,Education,NA,NA,Education,NA,NA,Education,NA,NA
Exp,1087.256,5,6,1,1,0,1,0,0,1,1,1,0,1,0,i tried to lower/increase the things i think would help me increase/decrease the things the game asked me to,15.2,535.782,Loneliness,Neuroticism,Depression,Loneliness,Wellbeing,Worry,Intelligence,Education,Depression,Alcohol,Exercise,BMI
Ctr,942.588,4,4,1,0,0,1,0,0,1,0,1,0,0,0,I found the experience very enjoyable. I didn't have a specific strategy; I just tried to implement interventions that I thought would cause the most widespread effects. I enjoyed watching the chain-reactions of some of my decisions.,16.2,2004.499,Sleeplessness,Depression,Worry,Intelligence,Education,Depression,Alcohol,Education,Depression,BMI,Education,Sleeplessness
Exp,930.606,4,4,1,1,1,1,0,0,1,1,1,0,1,0,As I gained more intervention uses per round the AI would use them in a different way to me that would bring a greater effect so I tried to follow it's strategy. The presentation was nice and I like the sound design.,17.2,1558.614,Sleeplessness,Loneliness,Worry,Alcohol,Education,Sleeplessness,Alcohol,BMI,Education,Education,Sleeplessness,Loneliness
Ctr,18.087,5,6,0,0,0,0,0,0,1,0,1,0,1,0,"nope, i was confused initially, i thought you could change whetehr you wanted to increase or decrease the effects as opposed to only do them one way.",16.2,899.934,Sleeplessness,Depression,Worry,Alcohol,Intelligence,Education,BMI,Education,NA,Diabetes,Education,Sleeplessness
Exp,351.426,5,6,1,1,1,0,0,0,1,1,1,0,1,0,I found the presentation of the stimulus quite complex t first but was able to adjust to it rather quickly. My strategy was to look into the trait that needed changing and then figure out which other trait would best lead me to do this,15.2,1041.5430000000001,Exercise,Education,Sleeplessness,Loneliness,Depression,NA,Education,Sleeplessness,NA,Education,NA,NA
