cond,cond_dur,Motivation,Direction,FreeText,test_score,test_dur,test_ffe1_1,test_ffe1_2,test_ffe1_3,test_ffe2_1,test_ffe2_2,test_ffe2_3,test_ffe3_1,test_ffe3_2,test_ffe3_3,test_ffe4_1,test_ffe4_2,test_ffe4_3,Usability,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation
Ctr,43.513,8,5,No strategy but the use of educations affect was memorable,13,855.6709999999999,Exercise,NA,NA,Education,NA,NA,Exercise,NA,NA,Exercise,NA,NA,44,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
Exp,2009.721,6,6,I didn't followed any specific strategy and nothing prevented me from achieving what I wanted.I liked the fact that I could see how each component had an effect on something else from a game.I could find more memorable the effects that I was already aware of like education reduces smoking.,17,1483.276,Sleeplessness,Depression,Worry,Alcohol,BMI,Sleeplessness,BMI,Education,NA,Intelligence,Education,Sleeplessness,35,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Ctr,378.703,5,6,"Personally, at my first try I did not have any strategy and tried to understand the software. But in my second try, I began to observe how interventions generally had an effect and tried to form a strategy.",16,1585.0459999999998,Not socialising,Depression,Worry,Sleeplessness,Depression,Worry,BMI,Education,NA,BMI,Diabetes,NA,78,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1
Exp,1640.969,6,6,I think insomnia and loneliness are the most prevalent factors that will affect  others. Sometimes I am not entirely sure why the computer did better than me and how come the computer got the higher percentage affected. I do not quite understand how the percentage affected is worked out.,19,1125.968,Sleeplessness,Depression,Worry,Alcohol,BMI,Sleeplessness,BMI,Education,NA,BMI,Diabetes,Sleeplessness,32,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Exp,335.48299999999995,6,9,"I enjoyed the game and the way it was presented, I tried to have some sort of strategy but ended up just choosing things I thought might be correct.",20,1036.665,Neuroticism,Depression,Worry,Intelligence,Education,Wellbeing,Not socialising,BMI,Education,Intelligence,Diabetes,Education,90,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
Ctr,216.827,5,7,I felt the sofware was hard to use. I did however find it enjoyable dragging the different factors around and seeing the increase/ decrease.,18,948.7710000000001,Not socialising,Sleeplessness,Depression,Eveningness,Alcohol,Intelligence,BMI,Education,NA,Intelligence,BMI,Diabetes,43,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Ctr,353.062,5,6,"I found it quite complicated to begin with, I didn't have a strategy other than to experiment with it. The effects were memorable and it was nice to see how they all interlinked.",17,787.273,Sleeplessness,Depression,Worry,Intelligence,Education,NA,Education,NA,NA,Intelligence,Education,NA,30,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1
Exp,229.782,6,5,"Wonderful presentation, very interesting and fun to interact with the game. I began remembering what trait lowered and increased other traits. The soundtrack to the game is very well done.",18,1027.67,Depression,NA,NA,Education,NA,NA,Intelligence,NA,NA,Education,NA,NA,100,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
Exp,765.706,6,7,It was a somewhat immersive experience that distracted me for a while.,17,659.114,Exercise,NA,NA,Education,NA,NA,Worry,NA,NA,Exercise,NA,NA,89,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
Ctr,14.376,6,9,"I found the simulation quite confusing at first, but then I got the hang of it. I still was a bit lost when a ripple effect was caused by a single intervention though, as the changes were expressed simultaneously and I simply couldn't keep up. I thought it was a fun game though!",16,1309.426,Depression,Worry,NA,Intelligence,NA,NA,BMI,NA,NA,Diabetes,NA,NA,15,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
