cond,cond_dur,Motivation,Direction,FreeText,PLEX_count,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,test_score_adjusted,test_dur,test_ffe_total
Ctr,0.7252166666666666,3,6,No strategy but the use of educations affect was memorable,6,1,1,0,1,0,0,1,0,1,0,1,0,26.682692307692303,14.261183333333332,9.074574852920719
Exp,33.49535,5,5,I didn't followed any specific strategy and nothing prevented me from achieving what I wanted.I liked the fact that I could see how each component had an effect on something else from a game.I could find more memorable the effects that I was already aware of like education reduces smoking.,6,1,1,0,1,0,0,1,0,1,0,1,0,27.884615384615373,24.72126666666667,72.13282216536656
Ctr,6.311716666666666,6,5,"Personally, at my first try I did not have any strategy and tried to understand the software. But in my second try, I began to observe how interventions generally had an effect and tried to form a strategy.",4,1,0,0,0,0,0,1,1,1,0,0,0,45.91346153846153,26.41743333333333,52.28717761361517
Exp,27.349483333333335,5,5,I think insomnia and loneliness are the most prevalent factors that will affect  others. Sometimes I am not entirely sure why the computer did better than me and how come the computer got the higher percentage affected. I do not quite understand how the percentage affected is worked out.,8,1,1,1,1,0,0,1,1,1,0,1,0,39.903846153846146,18.766133333333336,68.46757114670176
Exp,5.591383333333332,5,2,"I enjoyed the game and the way it was presented, I tried to have some sort of strategy but ended up just choosing things I thought might be correct.",6,1,1,1,0,0,0,0,1,1,0,1,0,57.9326923076923,17.27775,47.4139151372095
Ctr,3.613783333333333,6,4,I felt the sofware was hard to use. I did however find it enjoyable dragging the different factors around and seeing the increase/ decrease.,2,0,0,0,0,0,0,1,0,1,0,0,0,45.91346153846153,15.812850000000001,38.207448366355564
Ctr,5.884366666666667,6,5,"I found it quite complicated to begin with, I didn't have a strategy other than to experiment with it. The effects were memorable and it was nice to see how they all interlinked.",5,1,0,0,0,0,0,1,1,1,0,1,0,51.92307692307692,13.121216666666667,47.582662009223526
Exp,3.8297000000000003,5,6,"Wonderful presentation, very interesting and fun to interact with the game. I began remembering what trait lowered and increased other traits. The soundtrack to the game is very well done.",6,1,1,1,0,0,0,0,1,1,0,1,0,39.903846153846146,17.127833333333335,18.993922012189365
Exp,12.761766666666666,5,4,It was a somewhat immersive experience that distracted me for a while.,3,1,0,0,0,0,0,0,1,1,0,0,0,45.91346153846153,10.985233333333333,14.08541914225999
Ctr,0.23959999999999998,5,2,"I found the simulation quite confusing at first, but then I got the hang of it. I still was a bit lost when a ripple effect was caused by a single intervention though, as the changes were expressed simultaneously and I simply couldn't keep up. I thought it was a fun game though!",8,1,1,1,1,0,0,1,1,1,0,1,0,45.91346153846153,21.823766666666664,21.331450065565463
Ctr,0.2081166666666666,3,6,"It was slightly confusing, sometimes the colours faded and the arrows got huge. Also, some them had nothing happen after. I just clicked on ones that interested me and then clicked on another one. The presentation was good, my only problem was that it was slightly overwhelming and at time unclear.",1,0,0,0,0,0,0,0,0,1,0,0,0,45.91346153846153,20.61715,31.27417669716628
Exp,18.120933333333333,6,5,i tried to lower/increase the things i think would help me increase/decrease the things the game asked me to,7,1,1,0,1,0,0,1,1,1,0,1,0,39.903846153846146,8.9297,45.53028595148999
Ctr,15.7098,7,7,I found the experience very enjoyable. I didn't have a specific strategy; I just tried to implement interventions that I thought would cause the most widespread effects. I enjoyed watching the chain-reactions of some of my decisions.,4,1,0,0,1,0,0,1,0,1,0,0,0,45.91346153846153,33.408316666666664,69.100494700021855
Exp,15.5101,7,7,As I gained more intervention uses per round the AI would use them in a different way to me that would bring a greater effect so I tried to follow it's strategy. The presentation was nice and I like the sound design.,8,1,1,1,1,0,0,1,1,1,0,1,0,51.92307692307692,25.9769,89.95287527106035
Ctr,0.30145,6,5,"nope, i was confused initially, i thought you could change whetehr you wanted to increase or decrease the effects as opposed to only do them one way.",3,0,0,0,0,0,0,1,0,1,0,1,0,45.91346153846153,14.998899999999999,67.33801180079205
