user,condition,time,cmplx_interventionMax,objective,score_obj,target,cmplx_interventionN,score_side,cmplx_steps,intervention_valence,Predeessors,Successors,Neighbours,betweennessCentrality,eigenvectorCentrality,Depression,Worry,Wellbeing,Loneliness,Sleeplessness,Neuroticism,Alcohol,Education,BMI,Intelligence,Eveningness,Not socialising,Smoking,Exercise,Coffee intake,CHD,Diabetes,p_Depression,p_Worry,p_Wellbeing,p_Loneliness,p_Sleeplessness,p_Neuroticism,p_Alcohol,p_Education,p_BMI,p_Intelligence,p_Eveningness,p_Not socialising,p_Smoking,p_Exercise,p_Coffee intake,p_CHD,p_Diabetes
game-0.6052967413898229,game,16:53:00,1,Loneliness,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7321950326506161,game,16:52:00,2,Smoking,100,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.7321950326506161,game,16:52:00,2,Wellbeing,35,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.8443185386443874,game,16:52:00,1,Neuroticism,100,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7321950326506161,game,16:52:00,2,Exercise,100,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.6052967413898229,game,16:52:00,1,CHD,21,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7321950326506161,game,16:52:00,2,Loneliness,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7321950326506161,game,16:51:00,2,Loneliness,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.6052967413898229,game,16:51:00,1,BMI,49,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.8443185386443874,game,16:51:00,2,Wellbeing,24,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
