"","raw_alpha","std.alpha","G6(smc)","average_r","S/N","alpha se","var.r","med.r"
"Q2",0.556156574791547,0.560591589551128,0.596022901497551,0.0893671996766937,1.27578711790806,0.0487283225385746,0.00968192487686912,0.0935597460264639
"Q4",0.560282580152394,0.563914681326334,0.596085172143354,0.0904720882258471,1.2931292505821,0.0482713378804325,0.00981782028758061,0.0926231942791342
"Q5",0.574409362511767,0.586944173349004,0.624660699238556,0.0985356216225479,1.42098025370535,0.0467690377101942,0.0104839743507448,0.0972014814139003
"Q6",0.579221283703984,0.592789198677352,0.627067112718377,0.100702661391361,1.45573053748067,0.0463243377472447,0.010256129998039,0.0970876407896877
"Q7",0.539105645161818,0.544946399470914,0.583178374840609,0.0843486293958135,1.197543319814,0.0504658377341629,0.0100541398940479,0.0860208526701453
"Q8",0.541338526652715,0.553851391365987,0.593362638899506,0.0871687567707054,1.24140562280746,0.0502814522709011,0.0108030347387212,0.0860208526701453
"Q9",0.56200992865766,0.567855346392708,0.61033319223115,0.0918007753287624,1.3140399670633,0.0479275967538157,0.0112559046627634,0.0914972690024062
"Q10",0.582671665437298,0.591660527367597,0.629145027023131,0.100280193146854,1.44894277193776,0.0457740002957508,0.010203331218163,0.0951501617197171
"Q12",0.541685033780765,0.552755597261427,0.598851242100725,0.0868166214049539,1.23591395191709,0.0502764337035664,0.0112650098848481,0.085285999648955
"Q13",0.550015384720443,0.558498685194447,0.595756049705908,0.0886785147752307,1.2649989172522,0.0493569394980231,0.00989192885037434,0.0905607172550764
"Q15",0.56483231024686,0.575781412632571,0.615212431435403,0.0945357163062266,1.35727530518098,0.047734403676182,0.010468972760675,0.0947925782362082
"Q16",0.563693189429636,0.573717787973683,0.60447422035767,0.0938154577500827,1.34586377706575,0.0477679037836114,0.00906795286507915,0.0947925782362082
"Q21",0.535753973713298,0.543596313169705,0.575278200224742,0.0839291934253628,1.19104277387626,0.050764341098909,0.00918166979736553,0.0887204133508885
"Q22",0.58635783515065,0.588132839172912,0.62818461120762,0.0989721749251702,1.42796730380703,0.0451279816950701,0.0110946797392513,0.0972014814139003
