cond,cond_dur,Motivation,Direction,FreeText,PLEX_count,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,test_score_z,test_dur,test_ffe_total
Ctr,0.7252166666666666,3,6,No strategy but the use of educations affect was memorable,7,1,1,0,1,1,0,1,1,0,0,1,0,-1.7938973668487455,14.261183333333332,-1.3225968004380095
Exp,33.49535,5,5,I didn't followed any specific strategy and nothing prevented me from achieving what I wanted.I liked the fact that I could see how each component had an effect on something else from a game.I could find more memorable the effects that I was already aware of like education reduces smoking.,8,1,1,0,1,1,0,1,1,0,1,1,0,-0.07372180959652354,24.72126666666667,1.0170517356014894
Ctr,6.311716666666666,6,5,"Personally, at my first try I did not have any strategy and tried to understand the software. But in my second try, I began to observe how interventions generally had an effect and tried to form a strategy.",7,1,0,0,0,1,1,1,0,1,1,0,1,-0.503765698909579,26.41743333333333,0.301769153042936
Exp,27.349483333333335,5,5,I think insomnia and loneliness are the most prevalent factors that will affect  others. Sometimes I am not entirely sure why the computer did better than me and how come the computer got the higher percentage affected. I do not quite understand how the percentage affected is worked out.,12,1,1,1,1,1,1,1,1,1,1,1,1,0.7863659690295874,18.766133333333336,0.8683862640485647
Exp,5.591383333333332,5,2,"I enjoyed the game and the way it was presented, I tried to have some sort of strategy but ended up just choosing things I thought might be correct.",7,1,1,1,0,0,1,1,1,0,0,0,1,1.216409858342643,17.27775,0.12211141287443314
Ctr,3.613783333333333,6,4,I felt the sofware was hard to use. I did however find it enjoyable dragging the different factors around and seeing the increase/ decrease.,2,0,0,0,0,1,0,1,0,0,0,0,0,0.35632207971653196,15.812850000000001,-0.21235409449182635
Ctr,5.884366666666667,6,5,"I found it quite complicated to begin with, I didn't have a strategy other than to experiment with it. The effects were memorable and it was nice to see how they all interlinked.",7,1,0,0,0,1,1,1,1,0,0,1,1,-0.07372180959652354,13.121216666666667,0.005491515167713946
Exp,3.8297000000000003,5,6,"Wonderful presentation, very interesting and fun to interact with the game. I began remembering what trait lowered and increased other traits. The soundtrack to the game is very well done.",9,1,1,1,0,0,1,1,1,1,0,1,1,0.35632207971653196,17.127833333333335,-0.9675745655358795
Exp,12.761766666666666,5,4,It was a somewhat immersive experience that distracted me for a while.,5,1,0,0,0,0,1,1,0,0,0,1,1,-0.07372180959652354,10.985233333333333,-1.080600401722189
Ctr,0.23959999999999998,5,2,"I found the simulation quite confusing at first, but then I got the hang of it. I still was a bit lost when a ripple effect was caused by a single intervention though, as the changes were expressed simultaneously and I simply couldn't keep up. I thought it was a fun game though!",10,1,1,1,1,1,1,1,1,1,0,0,1,-0.503765698909579,21.823766666666664,-0.9852120930122827
Ctr,0.2081166666666666,3,6,"It was slightly confusing, sometimes the colours faded and the arrows got huge. Also, some them had nothing happen after. I just clicked on ones that interested me and then clicked on another one. The presentation was good, my only problem was that it was slightly overwhelming and at time unclear.",1,0,0,0,0,0,0,1,0,0,0,0,0,0.35632207971653196,20.61715,-0.4659095800310409
Exp,18.120933333333333,6,5,i tried to lower/increase the things i think would help me increase/decrease the things the game asked me to,9,1,1,0,1,1,1,1,1,0,1,1,0,-0.503765698909579,8.9297,0.10528870722864687
Ctr,15.7098,7,7,I found the experience very enjoyable. I didn't have a specific strategy; I just tried to implement interventions that I thought would cause the most widespread effects. I enjoyed watching the chain-reactions of some of my decisions.,7,1,0,0,1,1,0,1,0,1,0,1,1,0.35632207971653196,33.408316666666664,0.9242056070836921
Exp,15.5101,7,7,As I gained more intervention uses per round the AI would use them in a different way to me that would bring a greater effect so I tried to follow it's strategy. The presentation was nice and I like the sound design.,11,1,1,1,1,1,1,1,1,0,1,1,1,0.7863659690295874,25.9769,1.7441361179803023
Ctr,0.30145,6,5,"nope, i was confused initially, i thought you could change whetehr you wanted to increase or decrease the effects as opposed to only do them one way.",5,0,0,0,0,1,0,1,1,1,0,0,1,0.35632207971653196,14.998899999999999,0.8279195522997549
Exp,5.8571,6,5,I found the presentation of the stimulus quite complex t first but was able to adjust to it rather quickly. My strategy was to look into the trait that needed changing and then figure out which other trait would best lead me to do this,10,1,1,1,0,1,1,1,1,0,1,1,1,-0.07372180959652354,17.359050000000003,0.2036262703650264
Ctr,1.0159666666666667,6,6,"I had a few strategies like increasing education, socialization and excercise, etc as interventions. At times, I felt a bit confused so I wasn't achieve somethings like reducing neuroticism. I found the effect of reducing coffee intake on insomnia memorable. I don't really have any opinions regarding the presentation.",9,1,0,0,1,1,1,1,1,1,1,1,0,-1.36385347753569,18.116066666666665,-0.6603681907487696
Exp,0.28025,4,5,"At first I found it difficult to understand, but I developed a strategy pretty quickly.",7,0,1,1,0,1,1,1,0,0,1,1,0,-0.07372180959652354,19.779016666666667,-0.6225621410063263
Ctr,0.246,5,6,"slightly confessing, didn't fully understand how to reduce certain experiences. overall good layout and easy to manage.",6,0,1,0,0,1,1,0,0,1,0,1,1,-1.36385347753569,10.685933333333335,-0.37371395585013617
Exp,6.554783333333333,5,6,Some of the questions would appear multiple times which improved how well I memorised the answers,7,1,1,1,0,1,1,0,0,1,0,1,0,1.216409858342643,20.53495,1.0452341155727303
Ctr,0.22416666666666665,5,5,i liked the little arrows- i was pretty motivated to make changes and i enjoyed it. I dont think i really learned anything that wasnt common sense though,7,1,0,0,0,0,1,1,1,0,1,1,1,0.7863659690295874,9.7362,0.4255889993568694
Ctr,0.21821666666666667,5,5,very visually stimulating which made it more exciting to interact with. It was interesting and to some extent satisfying to see the kind of wide-spread effect that one intervention could have.,4,0,1,0,0,0,0,1,0,1,0,0,1,-0.503765698909579,31.889599999999998,-0.32559185378191297
Exp,2.365533333333333,5,5,i had not a clue what was going on i am not going to lie to you,6,1,0,0,1,1,1,1,1,0,0,0,0,-0.503765698909579,9.421466666666667,-0.7553810431952502
Exp,16.258733333333332,4,3,I did not really enjoy the software because I do not think it was clear enough about how to win. This may of been because I did not have strategy though.,3,0,0,0,0,0,0,1,1,0,0,0,1,1.216409858342643,12.589583333333334,0.6689100480273918
Ctr,2.7543833333333336,6,5,"I was mainly trying to induce positive effects. I would get frustrated if I was trying to do that and other factors on the task stopped that from happening. I think it was an interesting presentation and found it overall enjoyable, although it took a while to grasp and I did find it looked confusing at first",8,1,0,0,1,1,1,1,1,0,1,0,1,-0.07372180959652354,15.604566666666667,-0.45276298384174807
Exp,3.7097166666666666,5,5,I think it was a good game and I was motivated but found it difficult on a phone as couldn't really see the instructions which made knowing how to play it a bit difficult,5,0,1,0,0,0,0,0,1,0,1,1,1,-0.9338095882226345,17.782333333333334,-0.3912258711299005
Ctr,1.3137,6,7,I enjoyed using this software and found it very interactive. I tended to try and separate out certain factors and have a look at which factors were linked to lots of other factors. I think for some people they may find it overwhelming to look at as there is quite a lot going on within one diagram. Although for people who are visual learners it would definitely have a big effect. I think it was quite memorable seeing the effects of insomnia and sleep on your well-being and how all these factors link to one another.,6,1,0,0,0,1,0,1,0,0,1,1,1,-0.503765698909579,23.57195,-0.15033028618203154
Exp,2.165416666666666,5,6,"It was captivating but also quite confusing to know what the goal is and how to achieve it. However, it was interesting to see what affected what in the game and it was quite fun. The instructions could have been clearer and the presentation as well because it was all overlapping so there was a lot going on.",8,1,1,1,1,1,1,1,0,0,0,0,1,-0.503765698909579,22.174883333333334,0.9014906386412299
Exp,13.753633333333333,5,4,"It was strange considering the interventions for each goal didn't always make much sense. The first time I played the game it crashed/stopped working so I lost all my progress which was irritating. I liked the level up part, it made me motivated to keep going and progress through the levels. The actual presentation of the game was well-made and exciting, I can see how it would be an enticing method of learning",8,0,1,1,1,1,1,1,1,0,0,0,1,-0.07372180959652354,19.142699999999998,1.0170517356014894
Exp,24.95125,4,6,I feel like the pulsating icons/arrows distracted me when trying to work out the interventions. I did not have a strategy.,5,0,1,0,0,1,1,1,0,0,0,1,0,-0.503765698909579,41.07576666666667,0.5801418046125809
Exp,9.2593,6,7,"I had no strategy, just look to see which arrows were most prominent etc. It made the relationships between the factors a lot more memorable.",8,1,1,1,0,1,1,1,1,0,0,1,0,-0.9338095882226345,9.107783333333334,0.39502945377721044
Ctr,0.17648333333333335,6,6,The presentation was easy to interact with and interesting to work around,4,0,0,0,0,1,0,1,0,0,1,1,0,0.7863659690295874,12.12205,-0.8901568306287546
Ctr,12.52695,5,6,I started by getting to know the software and what each button would do and then I targeted interventions to improve wellbeing and increase it while lowering negative traits like depression. The software was unlike anything I have used before so it was memorable and fun to play around with it and I liked the fact that it was something new. I think it is memorable as I can still picture it in my head/visualise it.,5,1,0,0,0,1,0,1,0,0,1,0,1,0.7863659690295874,14.721633333333333,0.7692190403994267
Exp,21.21665,7,7,"It was interesting getting to grips with the simulation I quickly learnt how to reduce behaviour and it became easier to spot pathways to reduce patters. The presentation of the game was really interesting and I would definately play again, I especially liked the interaction with the computer that I was competing with something to make a positive effect.",10,1,1,1,1,1,1,1,1,0,1,0,1,-0.07372180959652354,17.103416666666664,-0.504412880278505
Exp,20.716833333333334,6,6,I liked the sounds and animations,8,0,1,1,1,1,1,1,0,0,0,1,1,-0.503765698909579,9.048066666666667,0.49210384454323963
Ctr,0.26163333333333333,6,5,"At first I found the software confusng, however after getting the hang of it I started developing strategies to improve the overall health.",6,0,0,1,0,1,1,1,1,0,0,0,1,0.35632207971653196,10.4983,-0.8006518749057097
Ctr,1.6366,3,3,I might've done something wrong because it got very confusing and that gave me anxiety.,4,1,1,0,0,1,0,1,0,0,0,0,0,0.7863659690295874,19.37355,-1.3706694112573485
