"","cond","cond_dur_mean","PLEX_count_mean","cond_dur_sd","PLEX_count_sd","cond_dur_min","PLEX_count_min","cond_dur_max","PLEX_count_max","cond","test_score_mean","Usability_mean","test_score_sd","Usability_sd","test_score_min","Usability_min","test_score_max","Usability_max","condition","t_diff_mean","score_mean","n_mean","t_diff_sd","score_sd","n_sd","t_diff_min","score_min","n_min","t_diff_max","score_max","n_max","group","n","mean","sd","min","max","t","n","mean","sd","min","max"
"1","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,0,130,48.2846153846154,45.3623199534189,0,100
"2","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,1,115,46.2608695652174,46.3026062993696,0,100
"3","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,2,133,56.6917293233083,44.1852471696304,0,100
"4","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,3,159,57.7672955974843,44.5848919987326,0,100
"5","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,4,145,51.9448275862069,46.1029613579975,0,100
"6","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,5,134,56.9253731343284,46.1634277121013,0,100
"7","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,6,139,58.4028776978417,45.4160667836134,0,100
"8","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,7,153,59.875816993464,44.3693113865164,0,100
"9","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,8,142,66.9366197183099,42.1308691916897,0,100
"10","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,9,138,65.3478260869565,43.9851753682296,0,100
