cond,cond_dur,PLEX_count
Ctr,0.7252166666666666,7
Exp,33.49535,8
Ctr,6.311716666666666,7
Exp,27.349483333333335,12
Exp,5.591383333333332,7
Ctr,3.613783333333333,2
Ctr,5.884366666666667,7
Exp,3.8297,9
Exp,12.761766666666666,5
Ctr,0.2396,10
Ctr,0.2081166666666666,1
Exp,18.120933333333333,9
Ctr,15.7098,7
Exp,15.5101,11
Ctr,0.30145,5
Exp,5.8571,10
Ctr,1.015966666666667,9
Exp,0.28025,7
Ctr,0.246,6
Exp,6.554783333333333,7
Ctr,0.22416666666666665,7
Ctr,0.21821666666666667,4
Exp,2.365533333333333,6
Exp,16.258733333333332,3
Ctr,2.7543833333333336,8
Exp,3.7097166666666666,5
Ctr,1.3137,6
Exp,2.165416666666666,8
Exp,13.753633333333331,8
Exp,24.95125,5
Exp,9.2593,8
Ctr,0.17648333333333335,4
Ctr,12.52695,5
Exp,21.21665,10
Exp,20.716833333333337,8
Ctr,0.26163333333333333,6
Ctr,1.6366,4
Exp,1.6272666666666666,9
Ctr,0.6410166666666667,4
Ctr,1.4676166666666668,5
Ctr,0.8716166666666666,4
Exp,3.2826,7
Exp,22.393716666666663,6
Exp,10.345083333333331,9
Exp,9.298033333333333,10
Ctr,0.47195,5
Ctr,0.43998333333333334,6
Exp,8.699516666666666,6
Ctr,3.3699833333333333,5
Ctr,5.952783333333333,7
Ctr,0.8714999999999999,7
Exp,1.6903833333333331,4
Ctr,5.780783333333333,5
Exp,31.48271666666667,9
Ctr,0.6632333333333332,7
Exp,6.1234166666666665,12
Exp,4.696183333333334,8
Exp,4.760266666666666,9
Ctr,4.098333333333334,6
Exp,1.2328333333333332,8
Ctr,1.66325,4
Exp,23.43951666666667,4
Exp,2.0286,6
Exp,13.613833333333332,10
Ctr,4.246616666666666,5
Exp,7.625433333333333,7
Exp,5.5984,7
Exp,15.519866666666667,5
Exp,22.3173,10
Ctr,0.44925,5
Exp,29.29478333333333,8
Ctr,14.529633333333331,10
Ctr,0.36661666666666665,8
Exp,25.034049999999997,9
Exp,14.858233333333336,8
Ctr,0.27588333333333337,7
Ctr,0.6007166666666667,8
Ctr,0.38204999999999995,3
Ctr,1.0165333333333333,3
Ctr,0.4233666666666666,4
Exp,17.432816666666668,8
Exp,4.656366666666667,7
Exp,35.8128,10
Ctr,0.44406666666666667,6
Exp,1.2353999999999998,8
Ctr,0.35568333333333335,0
Exp,2.48165,9
Exp,6.4127,9
Ctr,0.37965,7
Ctr,0.81015,7
Ctr,0.18001666666666666,10
Ctr,0.5505,4
Ctr,6.139083333333334,7
Exp,4.9314,9
Ctr,7.285133333333333,6
Exp,48.027,9
Ctr,9.227566666666666,8
Ctr,0.8636,1
Exp,2.0206500000000003,9
Ctr,0.16743333333333332,8
Exp,12.56145,2
Exp,6.677449999999999,8
Ctr,0.6029333333333333,4
Ctr,0.5570833333333333,5
Exp,18.56978333333333,10
Ctr,4.8364,2
Exp,11.032116666666669,1
Exp,53.63998333333333,5
Ctr,2.3845,6
Exp,11.786933333333334,9
Exp,28.492966666666668,7
Exp,20.315116666666665,7
Ctr,7.641933333333333,2
Exp,6.939283333333334,5
Exp,17.124483333333334,7
Ctr,0.7664333333333333,10
Ctr,0.4705833333333333,0
Exp,3.303366666666667,8
Exp,19.330766666666666,6
Ctr,0.7229666666666666,6
Ctr,0.29855,4
Exp,27.434016666666665,4
Ctr,5.314583333333333,5
Ctr,0.6502833333333334,3
Exp,25.816883333333333,10
Ctr,0.5231833333333333,4
Ctr,0.32894999999999996,4
Exp,62.28418333333333,8
Ctr,0.5597666666666666,7
Ctr,7.46315,6
Exp,28.1915,8
Exp,17.69895,8
Ctr,10.4638,5
Exp,25.64785,8
Ctr,0.3204666666666667,6
Exp,17.778983333333333,8
Ctr,3.4379666666666666,7
Ctr,3.1095166666666665,2
Ctr,0.9103666666666668,9
Exp,1.7401333333333333,8
Exp,36.97221666666667,7
Ctr,6.3952,6
Ctr,0.29736666666666667,9
Exp,39.3058,6
Exp,12.703333333333337,6
Exp,5.987183333333333,2
Exp,31.471383333333332,10
Exp,28.164383333333333,9
Ctr,1.3503833333333333,6
Ctr,0.7624333333333334,5
Ctr,0.31534999999999996,9
Exp,21.758716666666665,9
Ctr,7.55945,7
Ctr,3.8630833333333334,5
Exp,48.69253333333334,12
Exp,33.66446666666666,8
Ctr,1.3769166666666666,2
Exp,26.542433333333335,6
Exp,31.7235,9
Ctr,4.879016666666667,6
Ctr,1.4093833333333332,7
Exp,31.47385,9
Ctr,0.34126666666666666,9
Exp,15.533866666666666,7
Exp,22.43315,10
Exp,2.8814333333333333,10
Ctr,0.5906833333333333,3
Exp,30.662933333333335,9
Ctr,1.4757166666666668,6
Exp,31.585616666666667,10
Ctr,16.30695,6
Exp,30.975283333333337,10
Exp,26.78585,8
Ctr,10.749333333333334,8
Exp,2.8499833333333333,8
