PLEX_count,n,mean,min,max,sd
1,1,11.032116666666669,11.032116666666669,11.032116666666669,NA
2,2,9.274316666666667,5.987183333333333,12.56145,4.648708541328681
3,1,16.258733333333332,16.258733333333332,16.258733333333332,NA
4,3,17.521305555555557,1.6903833333333331,27.434016666666665,13.854695282359588
5,6,19.58697777777778,3.7097166666666666,53.63998333333333,18.24038979020236
6,8,16.6712125,2.0286,39.3058,12.805893682897674
7,12,12.668988888888888,0.28025,36.97221666666667,11.266447899163351
8,22,17.034704545454545,1.2328333333333332,62.28418333333333,15.013244276762267
9,18,17.480207407407406,1.6272666666666666,48.027,13.971130053854148
10,13,20.91148076923077,2.8814333333333333,35.8128,10.49823168019096
11,1,15.5101,15.5101,15.5101,NA
12,3,27.38847777777778,6.1234166666666665,48.69253333333334,21.2845851232786
