"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.358061027921423,0.0423067781197179,8.46344353872086,1.06686982684882e-14
"2","condExp",-0.300378143615696,0.0428221250844094,-7.01455481304586,4.99217286868884e-11
"3","(Intercept)",0.0600139942946339,0.000935851049058088,64.1277202766792,0
"4","conditioniv",-0.0071449833622913,0.00110079295081532,-6.4907604622643,9.14728566775082e-11
"5","(Intercept)",0.286215377221218,0.0590038082183626,4.8507949887232,2.86676528839647e-06
"6","Captivation",0.00408440907429847,0.0133237566234296,0.306550861722895,0.759578906049698
"7","Challenge",-0.0651560974904239,0.0271770295141873,-2.39746943117571,0.0176467180458113
"8","Competition",-0.0113646718501979,0.0173783176384711,-0.653956964455493,0.514066763213176
"9","Completion",-0.081015821406702,0.0223472763000784,-3.62531076802491,0.000386109564999601
"10","Discovery",-0.00286479689108967,0.0194457051782536,-0.14732285946068,0.883060381233959
"11","Progression",0.017634551897321,0.014871383980009,1.18580435560176,0.237435923384703
"12","Exploration",-0.0576541953736171,0.053334524327923,-1.08099202346186,0.281307260279307
"13","Fantasy",-0.0136327672458988,0.01684493947031,-0.809309363796002,0.419524286150354
"14","Humor",0.00519601068499194,0.0145259696700718,0.357704910791423,0.721029768031056
"15","Nurture",0.0119677195367832,0.0144467448082159,0.828402501439433,0.408661381758379
"16","Relaxation",-0.014799382722115,0.01386061465868,-1.06772917987783,0.287231214428844
"17","Sensation",-0.0328145107588437,0.0187345811324945,-1.75154760743105,0.0817440763179628
"18","(Intercept)",0.412852335072262,0.0598713993381627,6.89565200807167,1.15702299899422e-10
"19","condExp",-0.278489123408675,0.0439003663618505,-6.343662854957,2.17477933742954e-09
"20","Captivation",0.000168223020484623,0.0130800631726773,0.0128610250779233,0.989754592566209
"21","Challenge",-0.0173462844958369,0.0207220961163524,-0.837091209230925,0.403782125060464
"22","Competition",0.0167996033560067,0.0159202398220629,1.05523557080623,0.292898534961039
"23","Completion",-0.039795061495679,0.0172965331044659,-2.30075363978022,0.0226884548139998
"24","Discovery",-0.0205704536248894,0.0182318102603513,-1.12827269103518,0.260883268836251
"25","Progression",0.025082830935364,0.0131725840493702,1.90416935973647,0.0586717849578161
"26","Exploration",-0.0269590668157251,0.044898164409363,-0.600449198099135,0.549051192955085
"27","Fantasy",-0.00301752775703959,0.0150502532889088,-0.200496808865227,0.841345099347262
"28","Humor",-0.0120780262489055,0.0142607516250633,-0.846941771826269,0.39828476128621
"29","Nurture",0.012424709440385,0.0144088341333195,0.862298040592585,0.389806102977881
"30","Relaxation",-0.00856493513574477,0.0143657242471897,-0.596206288549655,0.551874742355504
"31","Sensation",-0.0182912271526573,0.0165095885043409,-1.10791538794852,0.269550764106468
"32","(Intercept)",-34.7166589850725,7.7163455479424,-4.49910631520771,0.000197039765607381
"33","learningInGame_dat$mean",0.73045623689321,0.119882482510194,6.09310235822899,4.78949257266788e-06
