id,target,effect,interventionLimit,username,tiomstamp,score
1064,ieu_a_1239,999,46,iv-0.36066224011624204,4/12/20 16:53,999
1063,ieu_a_1239,999,45,iv-0.36066224011624204,4/12/20 16:53,999
1062,ieu_a_1239,999,44,iv-0.36066224011624204,4/12/20 16:53,999
1061,ieu_a_1239,999,43,iv-0.36066224011624204,4/12/20 16:53,999
1060,ieu_a_961,999,42,iv-0.36066224011624204,4/12/20 16:53,999
1059,ukb_b_6519,ukb_b_8476,1,game-0.6052967413898229,4/12/20 16:53,100
1058,ieu_a_961,999,41,iv-0.36066224011624204,4/12/20 16:53,999
1057,"ukb_b_3957,ieu_a_1239",ieu_a_961,2,game-0.7321950326506161,4/12/20 16:52,100
1056,ieu_a_118,999,40,iv-0.36066224011624204,4/12/20 16:52,999
1054,"ukb_b_3957,ieu_a_1239",ieu_a_1018,2,game-0.7321950326506161,4/12/20 16:52,35
1055,ukb_b_8476,ieu_a_118,1,game-0.8443185386443874,4/12/20 16:52,100
1053,ieu_a_1187,999,39,iv-0.36066224011624204,4/12/20 16:52,999
1052,ieu_a_1187,999,38,iv-0.36066224011624204,4/12/20 16:52,999
1051,ieu_a_1187,999,37,iv-0.36066224011624204,4/12/20 16:52,999
1050,ieu_a_1187,999,36,iv-0.36066224011624204,4/12/20 16:52,999
1048,ieu_a_1187,999,34,iv-0.36066224011624204,4/12/20 16:52,999
1049,ieu_a_1187,999,35,iv-0.36066224011624204,4/12/20 16:52,999
1047,ieu_a_1187,999,33,iv-0.36066224011624204,4/12/20 16:52,999
1046,ieu_a_1187,999,32,iv-0.36066224011624204,4/12/20 16:52,999
1045,"ukb_b_8476,ukb_b_3957",ukb_b_4710,2,game-0.7321950326506161,4/12/20 16:52,100
1044,ukb_b_6519,999,31,iv-0.36066224011624204,4/12/20 16:52,999
1043,ukb_b_6519,999,30,iv-0.36066224011624204,4/12/20 16:52,999
1042,ukb_b_6519,ieu_a_7,1,game-0.6052967413898229,4/12/20 16:52,21
1041,ukb_b_8476,999,29,iv-0.36066224011624204,4/12/20 16:52,999
1040,"ieu_a_1187,ukb_b_6519",ukb_b_8476,2,game-0.7321950326506161,4/12/20 16:52,100
1039,ukb_b_8476,999,28,iv-0.36066224011624204,4/12/20 16:52,999
1038,ukb_b_8476,999,27,iv-0.36066224011624204,4/12/20 16:51,999
1037,"ieu_a_1187,ukb_b_6519",ukb_b_8476,2,game-0.7321950326506161,4/12/20 16:51,100
1036,ukb_b_3957,ukb_b_19953,1,game-0.6052967413898229,4/12/20 16:51,49
1035,ukb_b_4710,999,26,iv-0.36066224011624204,4/12/20 16:51,999
1034,ukb_b_4710,999,25,iv-0.36066224011624204,4/12/20 16:51,999
1033,ukb_b_5237,999,24,iv-0.36066224011624204,4/12/20 16:51,999
1032,ukb_b_5237,999,23,iv-0.36066224011624204,4/12/20 16:51,999
1031,"ukb_b_8476,ieu_a_1187",ieu_a_1018,2,game-0.8443185386443874,4/12/20 16:51,24
1030,ukb_b_5237,999,22,iv-0.36066224011624204,4/12/20 16:51,999
1029,ukb_b_5237,999,21,iv-0.36066224011624204,4/12/20 16:51,999
